,time,type,truth,guess,err
136,2/17/2020 11:25:2,small-multiple,6949,50.0,12.75219768449371
137,2/17/2020 11:25:2,small-multiple,6451,73.0,12.638916656807444
138,2/17/2020 11:25:2,bar,7586,75.0,12.874813292317457
139,2/17/2020 11:25:2,bar,816,10.0,9.654859754207394
140,2/17/2020 11:25:2,bar,5510,60.0,12.412073603507991
141,2/17/2020 11:25:2,pie,5000,33.0,12.27819533798263
142,2/17/2020 11:25:2,pie,9230,90.0,13.157998180322561
143,2/17/2020 11:25:2,pie,9552,100.0,13.206422993077494
144,2/17/2020 13:1:57,radial,1025,10.0,9.98744167293612
145,2/17/2020 13:1:57,radial,5454,0.6,12.412973332185638
146,2/17/2020 13:1:57,radial,1014,0.1,9.98587750596923
147,2/17/2020 13:1:57,small-multiple,6206,10.0,12.597150533867207
148,2/17/2020 13:1:57,small-multiple,5526,66.0,12.414718264161765
149,2/17/2020 13:1:57,small-multiple,222,20.0,7.659103963473662
150,2/17/2020 13:1:57,bar,5945,60.0,12.522857343080423
151,2/17/2020 13:1:57,bar,7750,80.0,12.90503437417786
152,2/17/2020 13:1:57,bar,6734,70.0,12.702199746468308
153,2/17/2020 13:1:57,pie,8271,70.0,13.001606111538559
154,2/17/2020 13:1:57,pie,3333,30.0,11.689615851157408
155,2/17/2020 13:1:57,pie,1875,10.0,10.865056607280358
156,2/17/2020 13:2:45,radial,5777,93.0,12.472722566001611
157,2/17/2020 13:2:45,radial,6216,50.0,12.590148420790957
158,2/17/2020 13:2:45,radial,6962,75.0,12.74968614656818
159,2/17/2020 13:2:45,small-multiple,6262,60.0,12.598546887533423
160,2/17/2020 13:2:45,small-multiple,4269,65.0,12.037589849823057
161,2/17/2020 13:2:45,small-multiple,1566,10.0,10.603742238069026
162,2/17/2020 13:2:45,bar,5411,50.0,12.388320058034934
163,2/17/2020 13:2:45,bar,3137,20.0,11.606000294378083
164,2/17/2020 13:2:45,bar,9531,95.0,13.203978814694066
165,2/17/2020 13:2:45,pie,7555,75.0,12.868846663782126
166,2/17/2020 13:2:45,pie,6190,65.0,12.5805235712328
167,2/17/2020 13:2:45,pie,9574,85.0,13.212059345948457
168,2/17/2020 13:8:31,radial,5555,60.0,12.423936583821853
169,2/17/2020 13:8:31,radial,2954,33.0,11.512308379570566
170,2/17/2020 13:8:31,radial,5555,65.0,12.422623281766354
171,2/17/2020 13:8:31,small-multiple,4800,47.0,12.21466062749922
172,2/17/2020 13:8:31,small-multiple,4333,55.0,12.062762921032624
173,2/17/2020 13:8:31,small-multiple,2812,30.0,11.44197152583225
174,2/17/2020 13:8:31,bar,6538,75.0,12.658016178975789
175,2/17/2020 13:8:31,bar,9659,95.0,13.223417270389339
176,2/17/2020 13:8:31,bar,5245,50.0,12.342942746921613
177,2/17/2020 13:8:31,pie,2631,30.0,11.344920015948718
178,2/17/2020 13:8:31,pie,10000,99.0,13.273376743158401
179,2/17/2020 13:8:31,pie,10000,95.0,13.273959466313164
180,2/17/2020 13:20:49,radial,5679,50.0,12.45869496961996
181,2/17/2020 13:20:49,radial,8181,85.0,12.98301584933462
182,2/17/2020 13:20:49,radial,8421,90.0,13.02429560886424
183,2/17/2020 13:20:49,small-multiple,8275,79.0,13.0007262718791
184,2/17/2020 13:20:49,small-multiple,6666,65.0,12.68849620210441
185,2/17/2020 13:20:49,small-multiple,3043,38.0,11.553209286623323
186,2/17/2020 13:20:49,bar,9693,97.0,13.228236235093098
187,2/17/2020 13:20:49,bar,3030,20.0,11.555607682987821
188,2/17/2020 13:20:49,bar,1153,12.0,10.156241119235752
189,2/17/2020 13:20:49,pie,1111,8.0,10.107380563045904
190,2/17/2020 13:20:49,pie,8840,80.0,13.0967357407435
191,2/17/2020 13:20:49,pie,9784,48.0,13.24913197528177
192,2/17/2020 13:32:51,radial,3939,43.0,11.92782424904004
193,2/17/2020 13:32:51,radial,5232,50.0,12.339328100393352
194,2/17/2020 13:32:51,radial,7678,78.0,12.891807431560034
195,2/17/2020 13:32:51,small-multiple,6551,50.0,12.666473678415874
196,2/17/2020 13:32:51,small-multiple,9032,87.0,13.126885927433412
197,2/17/2020 13:32:51,small-multiple,3297,38.0,11.670268970712716
198,2/17/2020 13:32:51,bar,10000,99.0,13.273376743158401
199,2/17/2020 13:32:51,bar,5833,60.0,12.495136747653335
200,2/17/2020 13:32:51,bar,2826,26.0,11.451275516423348
201,2/17/2020 13:32:51,pie,6666,80.0,12.685214178187932
202,2/17/2020 13:32:51,pie,5000,49.0,12.27354065783686
203,2/17/2020 13:32:51,pie,8888,90.0,13.102980383250319
204,2/17/2020 14:16:43,radial,8695,85.0,13.071818467182123
205,2/17/2020 14:16:43,radial,9600,95.0,13.214489884254938
206,2/17/2020 14:16:43,radial,3898,40.0,11.913684170910352
207,2/17/2020 14:16:43,small-multiple,5238,50.0,12.340997524218473
208,2/17/2020 14:16:43,small-multiple,1882,20.0,10.862734205478871
209,2/17/2020 14:16:43,small-multiple,2340,25.0,11.176874375344825
210,2/17/2020 14:16:43,bar,2500,33.0,11.268615098115905
211,2/17/2020 14:16:43,bar,5591,50.0,12.435963197245197
212,2/17/2020 14:16:43,bar,5576,65.0,12.428131134538901
213,2/17/2020 14:16:43,pie,9259,95.0,13.16178142200941
214,2/17/2020 14:16:43,pie,9230,95.0,13.157208754691238
215,2/17/2020 14:16:43,pie,3846,50.0,11.890311783320104
216,2/17/2020 14:48:4,radial,6333,60.0,12.614968595132094
217,2/17/2020 14:48:4,radial,5652,60.0,12.449180894099431
218,2/17/2020 14:48:4,radial,6363,30.0,12.628701839530242
219,2/17/2020 14:48:4,small-multiple,1428,40.0,10.438921772434343
220,2/17/2020 14:48:4,small-multiple,1595,20.0,10.621250608337666
221,2/17/2020 14:48:4,small-multiple,5915,60.0,12.515484255551705
222,2/17/2020 14:48:4,bar,3975,40.0,11.942193748607266
223,2/17/2020 14:48:4,bar,6329,70.0,12.61174527306712
224,2/17/2020 14:48:4,bar,8481,80.0,13.036366817701762
225,2/17/2020 14:48:4,pie,7500,80.0,12.857227775465189
226,2/17/2020 14:48:4,pie,10000,100.0,13.273231025585812
227,2/17/2020 14:48:4,pie,8214,80.0,12.98977144604173
228,2/17/2020 14:56:10,radial,5555,50.0,12.426559606822797
229,2/17/2020 14:56:10,radial,9473,95.0,13.195083793373014
230,2/17/2020 14:56:10,radial,5142,50.0,12.314052119193319
231,2/17/2020 14:56:10,small-multiple,9222,90.0,13.156734891886318
232,2/17/2020 14:56:10,small-multiple,7794,75.0,12.914221604991548
233,2/17/2020 14:56:10,small-multiple,6388,60.0,12.627562382434075
234,2/17/2020 14:56:10,bar,4516,40.0,12.128034610154689
235,2/17/2020 14:56:10,bar,8048,80.0,12.960024564531132
236,2/17/2020 14:56:10,bar,9090,95.0,13.13492761456876
237,2/17/2020 14:56:10,pie,8648,66.0,13.067119198981523
238,2/17/2020 14:56:10,pie,9333,90.0,13.174164978272323
239,2/17/2020 14:56:10,pie,6730,50.0,12.705659383647768
