time,type,truth,guess
2/17/2020 13:32:51,pie,88.88888888888889,90
2/17/2020 14:16:43,radial,86.95652173913044,85
2/17/2020 14:16:43,radial,96,95
2/17/2020 14:16:43,radial,38.983050847457626,40
2/17/2020 14:16:43,small-multiple,52.38095238095238,50
2/17/2020 14:16:43,small-multiple,18.823529411764707,20
2/17/2020 14:16:43,small-multiple,23.404255319148938,25
2/17/2020 14:16:43,bar,25,33
2/17/2020 14:16:43,bar,55.913978494623656,50
2/17/2020 14:16:43,bar,55.76923076923077,65
2/17/2020 14:16:43,pie,92.5925925925926,95
2/17/2020 14:16:43,pie,92.3076923076923,95
2/17/2020 14:16:43,pie,38.46153846153846,50
2/17/2020 14:48:4,radial,63.333333333333336,60
2/17/2020 14:48:4,radial,56.52173913043478,60
2/17/2020 14:48:4,radial,63.63636363636363,30
2/17/2020 14:48:4,small-multiple,14.285714285714286,40
2/17/2020 14:48:4,small-multiple,15.957446808510639,20
2/17/2020 14:48:4,small-multiple,59.15492957746479,60
2/17/2020 14:48:4,bar,39.75903614457831,40
2/17/2020 14:48:4,bar,63.29113924050633,70
2/17/2020 14:48:4,bar,84.81012658227849,80
2/17/2020 14:48:4,pie,75,80
2/17/2020 14:48:4,pie,100,100
2/17/2020 14:48:4,pie,82.14285714285714,80
2/17/2020 14:56:10,radial,55.55555555555556,50
2/17/2020 14:56:10,radial,94.73684210526316,95
2/17/2020 14:56:10,radial,51.42857142857143,50
2/17/2020 14:56:10,small-multiple,92.22222222222223,90
2/17/2020 14:56:10,small-multiple,77.94117647058823,75
2/17/2020 14:56:10,small-multiple,63.888888888888886,60
2/17/2020 14:56:10,bar,45.16129032258065,40
2/17/2020 14:56:10,bar,80.48780487804878,80
2/17/2020 14:56:10,bar,90.9090909090909,95
2/17/2020 14:56:10,pie,86.48648648648648,66
2/17/2020 14:56:10,pie,93.33333333333333,90
2/17/2020 14:56:10,pie,67.3076923076923,50
